text,label,source
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,sarcasm,tweet_eval_irony
"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",clean,tweet_eval_irony
Now I remember why I buy books online @user #servicewithasmile,sarcasm,tweet_eval_irony
@user @user So is he banded from wearing the clothes?  #Karma,sarcasm,tweet_eval_irony
Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,sarcasm,tweet_eval_irony
"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",sarcasm,tweet_eval_irony
@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,clean,tweet_eval_irony
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,sarcasm,tweet_eval_irony
Halfway thorough my workday ... Woooo,sarcasm,tweet_eval_irony
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,sarcasm,tweet_eval_irony
I forked node!  Get ready for the future.  (Where's my interviews),clean,tweet_eval_irony
"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",clean,tweet_eval_irony
"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",sarcasm,tweet_eval_irony
Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,sarcasm,tweet_eval_irony
@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,clean,tweet_eval_irony
"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",clean,tweet_eval_irony
.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,sarcasm,tweet_eval_irony
Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,clean,tweet_eval_irony
🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,sarcasm,tweet_eval_irony
Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,clean,tweet_eval_irony
Need to get back in to college..  #feeling #this,clean,tweet_eval_irony
No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,clean,tweet_eval_irony
Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,clean,tweet_eval_irony
@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,sarcasm,tweet_eval_irony
I refuse to be weak... #workout #motivation #fitfam,clean,tweet_eval_irony
Why YES! Of course I use  a lot in my day....because violence is illegal.,sarcasm,tweet_eval_irony
@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,sarcasm,tweet_eval_irony
I hate plane rides but I wanna go to so many different countries,sarcasm,tweet_eval_irony
Stop being the fan. And be the person blowing minds.,sarcasm,tweet_eval_irony
Ok watching how hurt parents are when their kids decide to elope definitely makes me change my mind about it. Small cozy wedding it is,sarcasm,tweet_eval_irony
I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,clean,tweet_eval_irony
"@user Advertising an online special with an expiry countdown, yet you cant order anything or check your postcodes validity.",sarcasm,tweet_eval_irony
Love that I still have kids that still wake up early on Christmas  #justkiddingIlovethem,sarcasm,tweet_eval_irony
That moment when you have so much stuff to do but you open @user ... #productivity  #tumblr,sarcasm,tweet_eval_irony
Oh god I just so happens that i love really LOVE slow internet #slowinternet,sarcasm,tweet_eval_irony
Simply having a wonderful christmas time :D,clean,tweet_eval_irony
isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,sarcasm,tweet_eval_irony
Breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove  #a #good #idea #butscheming doe,clean,tweet_eval_irony
Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml,sarcasm,tweet_eval_irony
#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends,clean,tweet_eval_irony
"@user @user you don't know a damned thing about baseball, do you?",clean,tweet_eval_irony
"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!",sarcasm,tweet_eval_irony
All I can say is I'm lucky.,clean,tweet_eval_irony
"#notcies #eu Liverpool workers ""miscarriage of justice"" victims",clean,tweet_eval_irony
"@user yesss! What makes it worse is when they look gorgeous and say ""I just got my face beat!"" Wtf?  #Contradiction",sarcasm,tweet_eval_irony
Xmas on the blog feat @user and @user * Read our story and share the LOVE ❤️ Click the link...,clean,tweet_eval_irony
"Watching the move 'Begin Again' and the verisimilitude is overpowering, it's like I'm back in the 90s music business again.",sarcasm,tweet_eval_irony
This is not the moon. Pictures like the moon is made of light bulbs.  #the #moon :),clean,tweet_eval_irony
I got ready and then got to school and parked in less than 12 minutes! #miracle,clean,tweet_eval_irony
"@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!",sarcasm,tweet_eval_irony
I don't like clowns but I'm going to be one.,sarcasm,tweet_eval_irony
MLS Transactions 2015 #MLS making waves again   2 b fair it will take more than 2 players to fix this,sarcasm,tweet_eval_irony
@user I'll be a bit sweaty by the time I get to you!,clean,tweet_eval_irony
a bad game last night. Way to go Packers!,clean,tweet_eval_irony
I hope I could recover from fever today. I need to start with strama..,clean,tweet_eval_irony
"somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka",clean,tweet_eval_irony
The Champions League is overrated anyway!,sarcasm,tweet_eval_irony
Porygon2 are  found in the www.monstermmorpg. com wild. #firemen follow @user #paint,clean,tweet_eval_irony
@user are you looking at the wrong profile picture?,clean,tweet_eval_irony
